"region_id","data_origin_id","response_id","year","percentage"
11,1,7,2007,0.31065438100000003
12,1,6,2007,0.297846909
12,1,7,2007,0.434817406
13,1,6,2007,0.281887555
13,1,7,2007,0.505045425
14,1,6,2007,0.49635076200000006
14,1,7,2007,0.623934083
15,1,6,2007,0.19851629699999998
15,1,7,2007,0.205588312
16,1,6,2007,0.10318615
16,1,7,2007,0.38622972299999997
17,1,6,2007,0.176683843
17,1,7,2007,0.487789975
18,1,6,2007,0.066423478
18,1,7,2007,0.28143641
19,1,6,2007,0.20462938
19,1,7,2007,0.37120751399999996
20,1,6,2007,0.046005855
20,1,7,2007,0.23597536800000002
21,1,6,2007,0.116219205
21,1,7,2007,0.25169022
22,1,6,2007,0.190782726
22,1,7,2007,0.5600985629999999
23,1,6,2007,0.17944205600000002
23,1,7,2007,0.566083392
24,1,6,2007,0.183782449
24,1,7,2007,0.350341081
0,1,6,2017,0.012229425
0,1,7,2017,0.6939476920000001
1,1,6,2017,0.14474863
1,1,7,2017,0.796012255
2,1,6,2017,0.029607768
2,1,7,2017,0.7120858720000001
3,1,6,2017,0.21700875600000002
3,1,7,2017,0.912770668
4,1,6,2017,0.055703061
4,1,7,2017,0.776487632
5,1,6,2017,0.048661807
5,1,7,2017,0.746643142
6,1,6,2017,0.387652689
6,1,7,2017,0.917382845
7,1,6,2017,0.105917958
7,1,7,2017,0.7728598440000001
8,1,6,2017,0.019506122
8,1,7,2017,0.681544643
9,1,6,2017,0.06140053400000001
9,1,7,2017,0.7388511240000001
10,1,6,2017,0.17866055
10,1,7,2017,0.876616339
11,1,6,2017,0.119578054
11,1,7,2017,0.8046283670000001
12,1,6,2017,0.216150135
12,1,7,2017,0.8442367209999999
13,1,6,2017,0.215963778
13,1,7,2017,0.869645001
14,1,6,2017,0.40726553600000004
14,1,7,2017,0.9214697740000001
15,1,6,2017,0.10092788
15,1,7,2017,0.644421283
16,1,6,2017,0.090891529
16,1,7,2017,0.88005892
17,1,6,2017,0.143164638
17,1,7,2017,0.881004034
18,1,6,2017,0.032819342
18,1,7,2017,0.76738876
19,1,6,2017,0.122976906
19,1,7,2017,0.7707180640000001
20,1,6,2017,0.035742429
20,1,7,2017,0.713515949
21,1,6,2017,0.070132576
21,1,7,2017,0.79822962
22,1,6,2017,0.16049311800000002
22,1,7,2017,0.908526197
23,1,6,2017,0.11880571300000001
23,1,7,2017,0.8614013229999999
24,1,6,2017,0.094105811
24,1,7,2017,0.769532784
0,0,8,2017,0.8367845415999999
0,0,9,2017,0.1632154584
1,0,8,2017,0.7807230948999999
1,0,9,2017,0.21927690510000003
2,0,8,2017,0.8704898356999999
2,0,9,2017,0.1295101643
3,0,8,2017,0.7357524037000001
3,0,9,2017,0.2642475963
4,0,8,2017,0.8074578643000001
4,0,9,2017,0.1925421357
5,0,8,2017,0.8477481008
5,0,9,2017,0.15225189919999998
6,0,8,2017,0.8684440255
6,0,9,2017,0.13155597449999998
7,0,8,2017,0.7090898156000001
7,0,9,2017,0.2909101844
8,0,8,2017,0.8758761287000001
8,0,9,2017,0.1241238713
9,0,8,2017,0.7967242002
9,0,9,2017,0.20327579980000002
10,0,8,2017,0.7853372693
10,0,9,2017,0.2146627307
11,0,8,2017,0.7480120063000001
11,0,9,2017,0.2519879937
12,0,8,2017,0.8135073781000001
12,0,9,2017,0.18649262190000002
13,0,8,2017,0.7150505184999999
13,0,9,2017,0.2849494815
14,0,8,2017,0.8671936392999999
14,0,9,2017,0.13280636070000001
15,0,8,2017,0.8306667805
15,0,9,2017,0.16933321950000002
16,0,8,2017,0.754440248
16,0,9,2017,0.245559752
17,0,8,2017,0.7534316181999999
17,0,9,2017,0.2465683818
18,0,8,2017,0.7990469336999999
18,0,9,2017,0.2009530663
19,0,8,2017,0.8323677181999999
19,0,9,2017,0.16763228179999998
20,0,8,2017,0.7194177508
20,0,9,2017,0.2805822492
21,0,8,2017,0.8165335655
21,0,9,2017,0.1834664345
22,0,8,2017,0.7783982158
22,0,9,2017,0.2216017842
23,0,8,2017,0.6180430651000001
23,0,9,2017,0.3819569349
24,0,8,2017,0.8160649538
24,0,9,2017,0.1839350462
0,0,10,2017,0.9351318999999999
0,0,11,2017,0.0648681
1,0,10,2017,0.9145818000000001
1,0,11,2017,0.0854182
2,0,10,2017,0.9044843
2,0,11,2017,0.0955157
3,0,10,2017,0.9447149
3,0,11,2017,0.0552851
4,0,10,2017,0.9259709
4,0,11,2017,0.0740291
5,0,10,2017,0.9403107
5,0,11,2017,0.0596893
6,0,10,2017,0.9526120000000001
